id,cause_of_death,region_origin,missing,dead,incident_region,date,source,reliability,lat,lon,affected_nationality
1,Drowning,Middle East,1.0,1.0,Mediterranean,05/11/2015,IOM Greece,Verified,36.8915,27.2877,Iraq
3,Fell from train,Central America & Mexico,0.0,1.0,Central America incl. Mexico,03/11/2015,La Jornada,Partially Verified,15.9564,-93.6631,Honduras
7,Vehicle accident,South East Asia,0.0,4.0,Southeast Asia,01/11/2015,Phnom Penh Post,Partially Verified,13.3611,100.985,Cambodia
12,Disease,MENA,0.0,1.0,Mediterranean,28/10/2015,IOM Greece,Verified,39.37081581,26.17647329,Syria
13,Drowning,MENA,0.0,1.0,Mediterranean,26/10/2015,IOM Greece,Verified,39.28097838,26.38413005,Iran
14,Drowning,South Asia,7.0,3.0,Mediterranean,23/10/2015,IOM Greece,Verified,39.27300546,26.42326885,Afghanistan
16,Drowning,UNKNOWN,0.0,4.0,Mediterranean,31/10/2015,Hurriyet Daily News,Partially Verified,39.27991538,26.38893657,Afghanistan
17,Exposure,South Asia,0.0,1.0,Europe,31/10/2015,AP,Partially Verified,45.2604,19.1706,Afghan
19,Drowning,Sub-Saharan Africa,0.0,8.0,Sub-Saharan Africa,30/10/2015,LINFO,Partially Verified,-11.8028,43.8519,Comoran
31,Drowning,UNKNOWN,0.0,3.0,Mediterranean,28/10/2015,Reuters and Al Jazeera,Partially Verified,39.27460011,26.392369800000004,Afghanistan
34,Drowning,UNKNOWN,0.0,1.0,Mediterranean,28/10/2015,Hellenic Coast Guard,Verified,39.2772578,26.40953594,Afghanistan
38,Drowning,MENA,0.0,1.0,Mediterranean,26/10/2015,IOM Greece and AP,Verified,38.37315331,26.46039668,Syria
43,Drowning,Sub-Saharan Africa,0.0,1.0,Mediterranean,26/10/2015,AFP,Partially Verified,35.88383695,-5.31757345,Guinea
50,Drowning,Sub-Saharan Africa,1.0,1.0,Mediterranean,21/10/2015,Desalambre,Partially Verified,35.8894,-5.32135,Senegal
56,Drowning,MENA,1.0,4.0,Mediterranean,19/10/2015,IOM Greece,Verified,36.1495,29.5934,Syria
59,Drowning,Middle East,3.0,4.0,Mediterranean,17/10/2015,Hellenic Coast Guard via IOM Greece,Verified,36.9523,26.9808,Iraq
61,Drowning,MENA,0.0,6.5,Mediterranean,16/10/2015,Turkish Coast Guard via IOM Turkey,Partially Verified,39.4162,26.4074,Afghanistan
61,Drowning,MENA,0.0,6.5,Mediterranean,16/10/2015,Turkish Coast Guard via IOM Turkey,Partially Verified,39.4162,26.4074,Syria
63,Hit by vehicle,MENA,0.0,1.0,Europe,15/10/2015,AFP,Partially Verified,50.9342,1.78665,Syria
65,Shot,MENA,0.0,1.0,Europe,15/10/2015,BBC,Partially Verified,42.3452,27.1813,Afghanistan
66,Drowning,UNKNOWN,0.0,3.0,Mediterranean,14/10/2015,Reuters,Partially Verified,39.2772578,26.38550335,Syria
69,Drowning,Middle East,0.0,2.0,Mediterranean,03/10/2015,IOM Greece,Verified,36.8915,27.2877,Iraq
70,Drowning,Middle East,2.0,7.0,Mediterranean,14/10/2015,AP,Partially Verified,37.77941392,26.35340986,Lebanese
71,Vehicle accident,Horn of Africa,0.0,8.0,Horn of Africa,12/10/2015,Horseed Media,Partially Verified,9.5116,49.0868,Ethiopia
72,Drowning,MENA,0.0,3.6666666666666665,Mediterranean,10/10/2015,IOM and Daily Star,Verified,31.5548,31.0911,Syria
72,Drowning,MENA,0.0,3.6666666666666665,Mediterranean,10/10/2015,IOM and Daily Star,Verified,31.5548,31.0911,Egypt
72,Drowning,MENA,0.0,3.6666666666666665,Mediterranean,10/10/2015,IOM and Daily Star,Verified,31.5548,31.0911,Africa
73,Drowning,MENA,0.0,1.0,Mediterranean,09/10/2015,IOM Athens and Reuters,Verified,39.28416729999999,26.38550335,Syria
74,Drowning,Sub-Saharan Africa,0.0,1.0,Mediterranean,09/10/2015,StateWatch.org,Verified,35.9402,-5.4451,Cameroon
74,Drowning,Sub-Saharan Africa,0.0,1.0,Mediterranean,09/10/2015,StateWatch.org,Verified,35.9402,-5.4451,Guinea
75,Vehicle accident,Caribbean,0.0,3.0,Caribbean,08/10/2015,Yahoo! News,Partially Verified,18.6046,-70.1862,Haiti
79,Hit by train,Horn of Africa,0.0,1.0,Europe,30/09/2015,CNN,Partially Verified,50.9171,1.79277,Eritrea
82,drowning,South Asia,0.0,2.0,Mediterranean,30/09/2015,IOM Greece,Verified,39.3346,26.4755,Afghan
85,Hit by truck,Middle East/ South Asia,0.0,1.0,Europe,29/09/2015,BBC,Partially Verified,50.9513,1.8586900000000002,Iraq
86,Drowning,MENA,5.0,1.0,Mediterranean,29/09/2015,Hurriyet Daily News,Partially verified,40.6765414,25.94885313,Syria
87,Crushed to death,Middle East/ South Asia,0.0,1.0,Europe,29/09/2015,BBC,Partially Verified,50.9513,1.8586900000000002,Iraq
89,Drowning,MENA,0.0,8.5,Mediterranean,27/09/2015,Hurriyet Daily News,Partially Verified,37.01356685,27.181960399999998,Syria
89,Drowning,MENA,0.0,8.5,Mediterranean,27/09/2015,Hurriyet Daily News,Partially Verified,37.01356685,27.181960399999998,Iraq
92,Hit by train,Horn of Africa,0.0,1.0,Europe,24/09/2015,BBC,Partially Verified,50.9232,1.78285,Eritrea
97,Drowning,Middle East,24.0,2.0,Mediterranean,20/09/2015,IOM Greece,Verified,39.4196,26.4507,Syria
102,Drowning,Middle East,0.0,13.0,Mediterranean,19/09/2015,IOM Greece,Verified,39.3877,26.4315,Syria
